"","year","jdate","col_area","SD","AD","FID","dist_burrow","sex","age","ageclass","valley_location","trial_number","ID_Code"
"1",2003,147,"bench",169,121.5,121.5,48,"F",10,"Adult","down_valley",1,1541
"2",2003,151,"bench",47.5,47.5,45.5,15,"F",10,"Adult","down_valley",2,1541
"3",2003,160,"bench",80,80,78,20,"F",10,"Adult","down_valley",3,1541
"4",2004,195,"bench",117.6,78.4,40,3.2,"F",11,"Adult","down_valley",2,1541
"5",2004,194,"bench",116.8,75.2,37.6,3.2,"F",11,"Adult","down_valley",1,1541
"6",2003,184,"river",50,50,12.5,18,"F",11,"Adult","down_valley",2,1496
"7",2004,192,"river",144.8,120.8,59.2,4.8,"F",12,"Adult","down_valley",2,1496
"8",2003,162,"river",90,90,86,18,"F",11,"Adult","down_valley",1,1496
"9",2004,191,"river",126.4,104,72,8,"F",12,"Adult","down_valley",1,1496
"10",2003,144,"bench",34,34,31,3,"M",1,"Yearling","down_valley",1,1977
"11",2003,146,"bench",49,49,41.5,19,"M",1,"Yearling","down_valley",2,1977
"12",2003,147,"bench",25,25,21.5,9,"M",1,"Yearling","down_valley",3,1977
"13",2003,168,"bench",73,73,53.5,1,"M",1,"Yearling","down_valley",4,1977
"14",2003,169,"bench",37.5,37.5,32.5,14,"M",1,"Yearling","down_valley",5,1977
"15",2003,176,"bench",101.5,101.5,92.5,6,"M",1,"Yearling","down_valley",6,1977
"16",2003,184,"bench",90,90,67,10,"M",1,"Yearling","down_valley",7,1977
"17",2004,173,"mm",97.6,72.8,63.2,1.6,"F",10,"Adult","up_valley",1,1560
"18",2003,162,"mm",131.5,131.5,129.5,25,"F",9,"Adult","up_valley",1,1560
"19",2003,192,"mm",91,91,64.5,3,"F",9,"Adult","up_valley",2,1560
"20",2004,176,"mm",103.2,60.8,24,0,"F",10,"Adult","up_valley",2,1560
"21",2004,178,"mm",99.2,71.2,49.6,8,"F",10,"Adult","up_valley",3,1560
"22",2004,182,"picnic_lower",127.2,103.2,78.4,4,"F",8,"Adult","up_valley",1,1639
"23",2004,202,"picnic_lower",130.4,103.2,79.2,8,"F",8,"Adult","up_valley",2,1639
"24",2003,163,"picnic",77,77,46,4,"F",7,"Adult","up_valley",1,1639
"25",2005,194,"boulder",44.55,41.36,33.73,22.27,"F",7,"Adult","up_valley",1,1823
"26",2005,198,"boulder",53.45,47.73,45.82,41.36,"F",7,"Adult","up_valley",2,1823
"27",2004,189,"river",132,96,80.8,4,"F",4,"Adult","down_valley",2,1896
"28",2004,188,"river",142.4,112.8,108.8,3.2,"F",4,"Adult","down_valley",1,1896
"29",2013,164,"avalanche",63,51,28,0,"F",1,"Yearling","down_valley",1,3239
"30",2013,168,"avalanche",51,39,19,0,"F",1,"Yearling","down_valley",2,3239
"31",2013,175,"avalanche",63.5,55.5,54,0,"F",1,"Yearling","down_valley",3,3239
"32",2003,150,"river",139,139,89,12,"F",1,"Yearling","down_valley",1,1998
"33",2003,146,"mm",89,69,56.5,4,"F",1,"Yearling","up_valley",1,1999
"34",2003,168,"mm",157,157,126,2,"F",1,"Yearling","up_valley",2,1999
"35",2003,172,"mm",125,125,100,7,"F",1,"Yearling","up_valley",3,1999
"36",2003,153,"mm",194,194,125,18,"F",3,"Adult","up_valley",2,1901
"37",2003,153,"mm",200,174,174,25,"F",3,"Adult","up_valley",3,1901
"38",2003,166,"mm",202,186,43.5,14,"F",3,"Adult","up_valley",4,1901
"39",2003,148,"mm",70,64,58,2,"F",3,"Adult","up_valley",1,1901
"40",2003,171,"mm",230,75,72,8,"F",3,"Adult","up_valley",5,1901
"41",2003,176,"mm",335,335,266,10,"F",3,"Adult","up_valley",6,1901
"42",2004,166,"mm",162.4,156,149.6,0.8,"F",4,"Adult","up_valley",1,1901
"43",2004,177,"mm",162.4,72.8,71.2,1.6,"F",4,"Adult","up_valley",2,1901
"44",2003,192,"mm",200,200,67,7,"F",3,"Adult","up_valley",9,1901
"45",2005,188,"mm",148.27,100.55,100.55,80.82,"F",5,"Adult","up_valley",2,1901
"46",2003,178,"mm",191.5,191.5,82.5,16,"F",3,"Adult","up_valley",7,1901
"47",2003,180,"mm",137,137,87.5,14,"F",3,"Adult","up_valley",8,1901
