year,col_area,valley_location,sex,summer_survival,combined_colony,predator_index,n_predator_observations,total_obslength_min,age,ageclass,massjun,ID_Code
2003,bench,down_valley,F,YES,rvbench,Low,2,9243,10,Adult,2904.775487,1541
2005,bench,down_valley,F,YES,rvbench,High,63,20299,12,Adult,2854.844374,1541
2004,bench,down_valley,F,YES,rvbench,High,16,20064,11,Adult,2951.268198,1541
2003,river,down_valley,F,YES,rvbench,Low,2,9243,11,Adult,2751.523272,1496
2004,river,down_valley,F,NO,rvbench,High,16,20064,12,Adult,2710.608115,1496
2003,river,down_valley,M,YES,rvbench,Low,2,9243,12,Adult,,4267
2004,river,down_valley,M,NO,rvbench,High,16,20064,13,Adult,,4267
2003,picnic_lower,up_valley,M,NO,picnic,High,21,6769,7,Adult,,1686
2006,picnic_upper,up_valley,F,YES,picnic,High,28,11295,7,Adult,3030.544945,4303
2008,picnic_upper,up_valley,F,NO,picnic,High,35,7309,9,Adult,2493.616785,4303
2005,picnic_upper,up_valley,F,YES,picnic,High,38,8519,6,Adult,2657.693321,4303
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,5,Adult,2713.838117,4303
2007,picnic_upper,up_valley,F,YES,picnic,High,22,7669,8,Adult,2879.79997,4303
2003,picnic_lower,up_valley,F,YES,picnic,High,21,6769,4,Adult,2465.97352,4303
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,5,Adult,3188.695209,1864
2003,picnic_lower,up_valley,F,YES,picnic,High,21,6769,4,Adult,2836.36213,1864
2005,picnic_lower,up_valley,F,YES,picnic,High,38,8519,6,Adult,2781.418094,1864
2006,picnic_lower,up_valley,F,YES,picnic,High,28,11295,7,Adult,3034.053874,1864
2008,picnic_lower,up_valley,F,YES,picnic,High,35,7309,9,Adult,2838.560967,1864
2007,picnic_lower,up_valley,F,YES,picnic,High,22,7669,8,Adult,2978.621367,1864
2004,mm,up_valley,M,YES,mm,High,9,12040,5,Adult,3782.987314,4304
2005,mm,up_valley,M,NO,mm,High,31,8455,6,Adult,,4304
2003,mm,up_valley,M,YES,mm,High,14,5699,4,Adult,3370.736566,4304
2006,mm,up_valley,F,YES,mm,Low,4,5363,12,Adult,2956.357661,1560
2005,mm,up_valley,F,YES,mm,High,31,8455,11,Adult,2714.061347,1560
2008,mm,up_valley,F,NO,mm,High,14,11519,14,Adult,,1560
2004,mm,up_valley,F,YES,mm,High,9,12040,10,Adult,3135.910304,1560
2003,mm,up_valley,F,YES,mm,High,14,5699,9,Adult,2759.950821,1560
2007,mm,up_valley,F,YES,mm,Low,6,8233,13,Adult,,1560
2006,picnic_lower,up_valley,F,YES,picnic,High,28,11295,10,Adult,2899.878796,1639
2005,picnic_lower,up_valley,F,YES,picnic,High,38,8519,9,Adult,2453.566034,1639
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,8,Adult,2711.259691,1639
2003,picnic_lower,up_valley,F,YES,picnic,High,21,6769,7,Adult,2691.730922,1639
2004,river,down_valley,M,YES,rvbench,High,16,20064,8,Adult,4137.117908,4282
2006,river,down_valley,M,YES,rvbench,High,19,28027,10,Adult,3780.626366,4282
2007,river,down_valley,M,NO,rvbench,High,192,30573,11,Adult,3950.93482,4282
2005,river,down_valley,M,YES,rvbench,High,63,20299,9,Adult,3829.915798,4282
2003,river,down_valley,M,YES,rvbench,Low,2,9243,7,Adult,3612.68813,4282
2007,gothictown,down_valley,F,NO,gothictown,High,66,13565,9,Adult,2471.311231,1803
2004,gothictown,down_valley,F,YES,gothictown,High,14,8151,6,Adult,3596.273025,1803
2003,gothictown,down_valley,F,YES,gothictown,Low,7,20739,5,Adult,3093.332206,1803
2006,gothictown,down_valley,F,YES,gothictown,High,40,9588,8,Adult,2441.386623,1803
2005,gothictown,down_valley,F,YES,gothictown,High,38,8078,7,Adult,3142.38971,1803
2003,cliff,up_valley,F,YES,,Low,,,4,Adult,2726.556178,1849
2005,cliff,up_valley,F,YES,,Low,,,6,Adult,2785.531843,1849
2006,cliff,up_valley,F,NO,,Low,,,7,Adult,,1849
2004,cliff,up_valley,F,YES,cliff,High,3,148,5,Adult,3074.83945,1849
2005,boulder,up_valley,F,YES,boulder,Low,1,1643,7,Adult,2732.329143,1823
2003,boulder,up_valley,F,YES,boulder,High,10,30,5,Adult,2457.07466,1823
2006,boulder,up_valley,F,YES,boulder,High,2,430,8,Adult,3099.879168,1823
2004,mm,up_valley,M,YES,mm,High,9,12040,6,Adult,4118.323571,1787
2005,mm,up_valley,M,YES,mm,High,31,8455,7,Adult,,1787
2006,river,down_valley,F,YES,rvbench,High,19,28027,6,Adult,3330.258086,1896
2005,river,down_valley,F,YES,rvbench,High,63,20299,5,Adult,3011.709605,1896
2003,river,down_valley,F,YES,rvbench,Low,2,9243,3,Adult,2613.917006,1896
2004,river,down_valley,F,YES,rvbench,High,16,20064,4,Adult,3034.430504,1896
2004,cliff,up_valley,F,NO,cliff,High,3,148,2,Adult,2216.555967,2015
2004,mm_aspen,up_valley,M,NO,mm,High,9,12040,2,Adult,,2001
2004,river_rivermound,down_valley,F,YES,rvbench,High,16,20064,2,Adult,2309.148074,1973
