year,Winter_Survival,col_area,massaug,nb_mass,age,ageclass,sex,valley_location,date_of_melt,ID_Code
1974,1,boulder,4446.5586,1,3,Adult,M,up_valley,157,373
1975,1,picnic_lower,4717.282082,1,4,Adult,M,up_valley,135,373
1976,1,picnic,4925.266297,1,5,Adult,M,up_valley,116,373
1977,0,picnic,5266.645929,1,6,Adult,M,up_valley,155,373
1984,1,coppermeadow,2133.417339,1,1,Yearling,M,SATELLITE,145,848
1985,0,coppermeadow,2996.241679,2,2,Adult,M,SATELLITE,149,848
2000,0,picnic_upper,2613.016323,4,1,Yearling,F,up_valley,134,1859
1977,0,river,3047.216793,1,2,Adult,M,down_valley,155,4125
1974,1,picnic_upper,4300.631744,1,2,Adult,M,up_valley,157,401
1975,1,picnic,NA,NA,3,Adult,M,up_valley,135,401
1976,1,cliff,4657.952712,1,4,Adult,M,up_valley,116,401
1977,0,cliff,4807.865553,1,5,Adult,M,up_valley,155,401
1986,1,picnic_lower,2608.696877,6,1,Yearling,F,up_valley,132,969
1987,1,picnic_lower,3162.667286,9,2,Adult,F,up_valley,135,969
1988,1,picnic_lower,3538.328098,5,3,Adult,F,up_valley,132,969
1989,1,picnic_lower,3385.046353,2,4,Adult,F,up_valley,138,969
1990,1,picnic_lower,3191.202912,8,5,Adult,F,up_valley,142,969
1991,1,picnic_lower,3117.024406,6,6,Adult,F,up_valley,123,969
1992,0,cliff,3472.027097,2,7,Adult,F,up_valley,156,969
1985,1,mmannex,2241.23812,1,1,Yearling,F,SATELLITE,149,922
1986,1,mmannex,3338.417413,1,2,Adult,F,SATELLITE,132,922
1987,1,mm,3190.966333,2,3,Adult,F,up_valley,135,922
1988,1,mm,3197.973808,2,4,Adult,F,up_valley,132,922
1989,1,mm,3489.87605,3,5,Adult,F,up_valley,138,922
1990,1,mm,3243.958869,3,6,Adult,F,up_valley,142,922
1991,1,mm,3016.878619,4,7,Adult,F,up_valley,123,922
1992,0,mm,3839.521641,5,8,Adult,F,up_valley,156,922
1985,0,rvannex,2999.837943,2,2,Adult,F,down_valley,149,3949
1987,1,cliff,2927.489301,2,1,Yearling,M,up_valley,135,1016
1988,0,cliff,NA,NA,2,Adult,M,up_valley,132,1016
1974,1,mm,NA,NA,3,Adult,F,up_valley,157,381
1975,1,mm,NA,NA,4,Adult,F,up_valley,135,381
1976,1,mm,NA,NA,5,Adult,F,up_valley,116,381
1977,0,mm,NA,NA,6,Adult,F,up_valley,155,381
1974,1,northpk,NA,NA,4,Adult,F,up_valley,157,333
1975,0,northpk,2794.109037,1,5,Adult,F,up_valley,135,333
1987,1,cliff,3199.226633,3,1,Yearling,M,up_valley,135,1017
1988,0,cliff,4553.912785,1,2,Adult,M,up_valley,132,1017
1974,1,picnic_upper,3714.211582,2,4,Adult,F,up_valley,157,334
1975,1,picnic_upper,NA,NA,5,Adult,F,up_valley,135,334
1976,1,picnic_upper,NA,NA,6,Adult,F,up_valley,116,334
1977,1,picnic_upper,NA,NA,7,Adult,F,up_valley,155,334
1978,1,picnic_upper,3330.139509,1,8,Adult,F,up_valley,152,334
1979,0,picnic_upper,2776.194084,3,9,Adult,F,up_valley,158,334
1974,1,northpk,NA,NA,5,Adult,M,up_valley,157,4068
1975,1,northpk,4439.344764,1,6,Adult,M,up_valley,135,4068
1976,1,northpk,NA,NA,7,Adult,M,up_valley,116,4068
1977,0,northpk,NA,NA,8,Adult,M,up_valley,155,4068
2000,1,picnic_lower,2349.29739,5,1,Yearling,F,up_valley,134,1856
2002,0,beavertalus,4089.175146,3,3,Adult,F,SATELLITE,142,1856
1974,1,averycampground,3890.269951,1,3,Adult,F,SATELLITE,157,4081
1975,1,averycampground,3799.699828,1,4,Adult,F,SATELLITE,135,4081
1976,1,mm,NA,NA,5,Adult,F,up_valley,116,4081
1977,1,mm,NA,NA,6,Adult,F,up_valley,155,4081
1978,1,mm,NA,NA,7,Adult,F,up_valley,152,4081
1979,0,mm,4084.999084,1,8,Adult,F,up_valley,158,4081
1987,1,coppermeadow,NA,NA,1,Yearling,F,SATELLITE,135,1009
1988,1,coppermeadow,3095.647806,1,2,Adult,F,SATELLITE,132,1009
1989,0,coppermeadow,3254.726549,3,3,Adult,F,SATELLITE,138,1009
1978,0,northpk,3524.977986,1,2,Adult,M,up_valley,152,4135
1978,0,northpk,3090.486576,1,2,Adult,F,up_valley,152,4136
1986,0,coppercreek,2737.482896,1,2,Adult,F,SATELLITE,132,4206
1985,1,gothictown,NA,NA,1,Yearling,F,down_valley,149,907
1986,1,gothictown,NA,NA,2,Adult,F,down_valley,132,907
1987,1,gothictown,NA,NA,3,Adult,F,down_valley,135,907
1988,1,gothictown,NA,NA,4,Adult,F,down_valley,132,907
1989,1,gothictown,3336.063739,1,5,Adult,F,down_valley,138,907
1990,1,gothictown,3313.180565,2,6,Adult,F,down_valley,142,907
1991,0,gothictown,NA,NA,7,Adult,F,down_valley,123,907
1984,0,picnic_middle,1843.969586,2,1,Yearling,M,up_valley,145,831
1978,0,northpk,3214.895461,1,2,Adult,F,up_valley,152,4137
1974,1,northpk,3590.771747,2,3,Adult,F,up_valley,157,4083
1975,1,northpk,NA,NA,4,Adult,F,up_valley,135,4083
1976,0,northpk,NA,NA,5,Adult,F,up_valley,116,4083
1984,1,boulder,2042.122207,1,1,Yearling,F,up_valley,145,874
1985,1,boulder,2515.5731,2,2,Adult,F,up_valley,149,874
1986,1,boulder,2674.797705,2,3,Adult,F,up_valley,132,874
1987,1,northpk,2930.170641,3,4,Adult,F,up_valley,135,874
1988,1,northpk,2673.829633,1,5,Adult,F,up_valley,132,874
1989,1,northpk,3069.742214,1,6,Adult,F,up_valley,138,874
1990,0,northpk,3005.518729,1,7,Adult,F,up_valley,142,874
1974,1,picnic_lower,3535.996075,8,3,Adult,F,up_valley,157,369
1975,1,picnic_lower,NA,NA,4,Adult,F,up_valley,135,369
1976,0,picnic_lower,NA,NA,5,Adult,F,up_valley,116,369
1986,0,beavertalus,2525.227847,1,2,Adult,F,SATELLITE,132,4207
1984,1,gothictown,3617.217333,1,2,Adult,M,down_valley,145,4179
1985,1,gothictown,4464.620412,4,3,Adult,M,down_valley,149,4179
1986,1,gothictown,4825.339413,2,4,Adult,M,down_valley,132,4179
1987,1,gothictown,5186.639581,2,5,Adult,M,down_valley,135,4179
1988,1,gothictown,5317.268114,2,6,Adult,M,down_valley,132,4179
1989,0,gothictown,5292.206522,3,7,Adult,M,down_valley,138,4179
1978,1,picnic_lower,4841.652961,1,2,Adult,M,up_valley,152,4138
1979,1,picnic_lower,4693.981769,1,3,Adult,M,up_valley,158,4138
1980,1,picnic_lower,4866.028441,1,4,Adult,M,up_valley,119,4138
1981,0,picnic_lower,NA,NA,5,Adult,M,up_valley,152,4138
1974,1,picnic_lower,2728.823781,2,3,Adult,F,up_valley,157,370
1975,1,picnic_lower,NA,NA,4,Adult,F,up_valley,135,370
1976,1,picnic_lower,NA,NA,5,Adult,F,up_valley,116,370
1977,1,picnic_lower,NA,NA,6,Adult,F,up_valley,155,370
1978,1,picnic_lower,3311.246666,1,7,Adult,F,up_valley,152,370
1979,1,picnic_lower,3234.883997,2,8,Adult,F,up_valley,158,370
1980,1,picnic_lower,3827.004924,3,9,Adult,F,up_valley,119,370
1981,0,picnic_lower,3232.198942,1,10,Adult,F,up_valley,152,370
1977,0,river,3198.75372,1,2,Adult,F,down_valley,155,4126
2000,0,picnic_lower,3047.786113,1,1,Yearling,M,up_valley,134,1847
1993,1,gothictown,3251.865629,1,1,Yearling,F,down_valley,140,1464
1994,1,gothictown,NA,NA,2,Adult,F,down_valley,170,1464
1995,1,gothictown,3482.338444,2,3,Adult,F,down_valley,140,1464
1996,1,gothictown,3617.109466,1,4,Adult,F,down_valley,152,1464
1997,0,gothictown,3794.719232,3,5,Adult,F,down_valley,140,1464
1993,0,gothictown,4036.667649,1,1,Yearling,M,down_valley,140,1467
1992,1,northpk,3511.149612,3,2,Adult,F,up_valley,156,4258
1993,0,northpk,3548.246889,1,3,Adult,F,up_valley,140,4258
1986,0,pikacliff,2896.95219,1,2,Adult,M,SATELLITE,132,4208
1978,1,northpk,3186.192803,1,2,Adult,F,up_valley,152,4139
1979,1,northpk,NA,NA,3,Adult,F,up_valley,158,4139
1980,1,northpk,NA,NA,4,Adult,F,up_valley,119,4139
1981,1,northpk,3613.473773,1,5,Adult,F,up_valley,152,4139
1982,0,northpk,NA,NA,6,Adult,F,up_valley,160,4139
1985,0,river,2650.612977,2,1,Yearling,M,down_valley,149,904
1993,0,gothictown,3925.790834,1,1,Yearling,M,down_valley,140,1521
1993,0,river,2424.042417,8,1,Yearling,F,down_valley,140,1491
1993,0,river,2759.013289,1,1,Yearling,F,down_valley,140,1492
1987,1,boulder,2856.26764,8,1,Yearling,F,up_valley,135,1085
1988,0,northpk,2512.553135,3,2,Adult,F,up_valley,132,1085
1986,1,waterfalltalus,4909.578591,3,2,Adult,M,SATELLITE,132,4209
1987,1,boulder,4953.490827,1,3,Adult,M,up_valley,135,4209
1988,1,boulder,5098.512928,3,4,Adult,M,up_valley,132,4209
1989,0,boulder,5151.742758,1,5,Adult,M,up_valley,138,4209
1993,1,falls,2879.275814,5,1,Yearling,M,SATELLITE,140,1479
1994,0,rvannex,NA,NA,2,Adult,M,down_valley,170,1479
1993,1,gothictown,3419.060885,1,1,Yearling,F,down_valley,140,1465
1994,1,gothictown,NA,NA,2,Adult,F,down_valley,170,1465
1995,1,gothictown,3690.349333,2,3,Adult,F,down_valley,140,1465
1996,1,gothictown,4036.618783,3,4,Adult,F,down_valley,152,1465
1997,1,gothictown,4100.039643,3,5,Adult,F,down_valley,140,1465
1998,0,gothictown,4684.604226,4,6,Adult,F,down_valley,145,1465
1993,0,gothictown,3663.059232,1,1,Yearling,M,down_valley,140,1472
1978,1,coppermeadow,2687.375304,1,1,Yearling,M,SATELLITE,152,589
1979,1,grasshopperledge,3433.744413,1,2,Adult,M,SATELLITE,158,589
1980,0,grasshopperledge,4320.316953,1,3,Adult,M,SATELLITE,119,589
1993,1,gothictalus,2732.776109,1,1,Yearling,F,SATELLITE,140,1469
1994,1,gothictalus,NA,NA,2,Adult,F,SATELLITE,170,1469
1995,0,gothictalus,NA,NA,3,Adult,F,SATELLITE,140,1469
1993,1,gothictown,3091.291963,2,1,Yearling,F,down_valley,140,1481
1995,1,gothictown,3826.503333,4,3,Adult,F,down_valley,140,1481
1996,1,gothictown,3999.309953,3,4,Adult,F,down_valley,152,1481
1997,0,gothictown,3810.91645,1,5,Adult,F,down_valley,140,1481
1993,1,rvbend,3378.719138,9,1,Yearling,M,down_valley,140,1480
1994,0,river,4260.303636,4,2,Adult,M,down_valley,170,1480
1993,1,gothictown,3229.731691,2,1,Yearling,F,down_valley,140,1482
1994,0,gothictown,NA,NA,2,Adult,F,down_valley,170,1482
1993,0,gothictown,3864.956987,2,1,Yearling,M,down_valley,140,1485
1993,1,gothictown,3336.674953,1,1,Yearling,F,down_valley,140,1466
1994,1,gothictown,NA,NA,2,Adult,F,down_valley,170,1466
1995,1,gothictown,3606.835282,2,3,Adult,F,down_valley,140,1466
1996,0,gothictown,NA,NA,4,Adult,F,down_valley,152,1466
1985,0,corralburrow,2724.909055,1,1,Yearling,M,SATELLITE,149,905
1992,0,gothictown,3398.04412,2,1,Yearling,M,down_valley,156,1456
1992,0,rvannex,2997.33189,3,1,Yearling,M,down_valley,156,1446
1992,0,gothictown,3330.838268,2,1,Yearling,M,down_valley,156,1457
1974,1,river,3191.65915,3,1,Yearling,F,down_valley,157,431
1975,1,river,NA,NA,2,Adult,F,down_valley,135,431
1976,0,river,3277.384541,1,3,Adult,F,down_valley,116,431
1990,1,gothictown,3976.514777,2,2,Adult,M,down_valley,142,4236
1991,1,gothictown,NA,NA,3,Adult,M,down_valley,123,4236
1992,1,copperbend,4916.151561,1,4,Adult,M,SATELLITE,156,4236
1993,1,gothictown,4976.996959,2,5,Adult,M,down_valley,140,4236
1994,1,gothictown,NA,NA,6,Adult,M,down_valley,170,4236
1995,0,gothictown,4892.328245,1,7,Adult,M,down_valley,140,4236
1992,0,gothictown,NA,NA,1,Yearling,M,down_valley,156,1459
1991,0,cliff,2919.852791,5,1,Yearling,M,up_valley,123,1385
1992,0,gothictown,3336.78422,2,1,Yearling,M,down_valley,156,1460
1979,0,gothictown,3053.061264,1,1,Yearling,F,down_valley,158,598
1987,0,boulder,2542.443209,2,1,Yearling,F,up_valley,135,1087
1991,0,rvannex,3054.950194,1,1,Yearling,M,down_valley,123,1368
1992,0,gothictown,3337.360029,2,1,Yearling,M,down_valley,156,1461
1992,1,rvannex,3183.85743,3,1,Yearling,M,down_valley,156,1447
1993,0,rvbendwest,3006.924683,1,2,Adult,M,SATELLITE,140,1447
1991,1,rvannex,2726.950887,1,1,Yearling,M,down_valley,123,1369
1992,0,rvbend,NA,NA,2,Adult,M,down_valley,156,1369
1992,0,gothictalus,2566.066742,2,1,Yearling,F,SATELLITE,156,1414
1992,0,gothictalus,2566.46906,3,1,Yearling,F,SATELLITE,156,1415
1992,0,gothictalus,2511.225533,3,1,Yearling,M,SATELLITE,156,1454
1985,1,coppercreek,3755.176063,1,2,Adult,M,SATELLITE,149,4195
1986,1,coppercreek,NA,NA,3,Adult,M,SATELLITE,132,4195
1987,0,coppermeadow,NA,NA,4,Adult,M,SATELLITE,135,4195
1993,0,gothictown,3945.816685,1,1,Yearling,M,down_valley,140,1522
1993,0,rvannex,2942.723166,1,1,Yearling,M,down_valley,140,1505
1974,0,river,NA,NA,1,Yearling,M,down_valley,157,432
1979,0,gothictown,2669.932531,3,1,Yearling,M,down_valley,158,600
1986,0,river,2765.559626,4,1,Yearling,M,down_valley,132,967
1992,0,beavertalus,4730.399791,1,2,Adult,M,SATELLITE,156,4259
1992,1,gothictown,3602.72261,3,2,Adult,M,down_valley,156,4260
1993,1,gothictown,4294.574445,2,3,Adult,M,down_valley,140,4260
1994,1,gothictown,NA,NA,4,Adult,M,down_valley,170,4260
1995,0,gothictown,4565.717772,4,5,Adult,M,down_valley,140,4260
1993,1,river,2658.139307,5,1,Yearling,F,down_valley,140,1493
1994,1,river,NA,NA,2,Adult,F,down_valley,170,1493
1995,0,river,NA,NA,3,Adult,F,down_valley,140,1493
1987,1,cliff,2736.990213,4,1,Yearling,F,up_valley,135,1015
1988,1,cliff,3129.938434,3,2,Adult,F,up_valley,132,1015
1989,1,cliff,3154.954028,3,3,Adult,F,up_valley,138,1015
1990,1,cliff,3306.087247,4,4,Adult,F,up_valley,142,1015
1991,0,cliff,2920.768235,3,5,Adult,F,up_valley,123,1015
1986,0,mm,2457.506785,1,1,Yearling,F,up_valley,132,930
1993,1,river,2785.918933,9,1,Yearling,F,down_valley,140,1495
1994,0,river,3965.015932,4,2,Adult,F,down_valley,170,1495
1993,0,gothictown,2879.487265,1,1,Yearling,F,down_valley,140,1471
1974,0,river,2939.903085,4,1,Yearling,M,down_valley,157,433
1979,0,gothictown,3420.320814,2,1,Yearling,M,down_valley,158,601
1987,1,northpk,2155.218046,2,1,Yearling,M,up_valley,135,1054
1988,1,northpk,3422.204404,2,2,Adult,M,up_valley,132,1054
1989,0,northpk,4008.005029,2,3,Adult,M,up_valley,138,1054
1993,0,northpk,3522.338473,1,2,Adult,M,up_valley,140,4263
1994,0,river,2870.460984,4,1,Yearling,F,down_valley,170,1546
1979,0,gothictown,3631.750857,2,1,Yearling,M,down_valley,158,602
1987,0,copperbend,3659.785257,1,1,Yearling,M,SATELLITE,135,1052
1986,0,mm,2733.387895,2,1,Yearling,M,up_valley,132,933
1994,0,river,3579.952503,3,1,Yearling,M,down_valley,170,1540
1994,0,river,3478.201295,2,1,Yearling,M,down_valley,170,1547
1992,0,coppermeadow,3312.690146,2,2,Adult,F,SATELLITE,156,4261
1986,1,cliff,2466.784115,2,1,Yearling,F,up_valley,132,946
1987,1,cliff,NA,NA,2,Adult,F,up_valley,135,946
1988,0,cliff,2785.913256,2,3,Adult,F,up_valley,132,946
1994,0,river,3566.651201,2,1,Yearling,M,down_valley,170,1548
1993,0,northpk,2211.900814,1,1,Yearling,F,up_valley,140,1526
1996,0,gothictown,2923.844431,2,1,Yearling,F,down_valley,152,1611
1978,1,beavertalus,NA,NA,2,Adult,F,SATELLITE,152,4140
1979,1,beavertalus,2562.945507,3,3,Adult,F,SATELLITE,158,4140
1980,0,beavertalus,NA,NA,4,Adult,F,SATELLITE,119,4140
1996,1,river,3872.958023,4,1,Yearling,M,down_valley,152,1607
1997,0,gothictown,3955.03124,2,2,Adult,M,down_valley,140,1607
1987,0,boulder,2651.902281,2,1,Yearling,F,up_valley,135,1088
1994,1,river_rivermound,2896.790104,3,1,Yearling,F,down_valley,170,1541
1995,1,river_rivermound,NA,NA,2,Adult,F,down_valley,140,1541
1996,1,bench,3310.780737,1,3,Adult,F,down_valley,152,1541
1997,1,bench,3642.546243,3,4,Adult,F,down_valley,140,1541
1998,1,bench,NA,NA,5,Adult,F,down_valley,145,1541
1999,1,bench,NA,NA,6,Adult,F,down_valley,130,1541
2000,1,bench,3451.882584,3,7,Adult,F,down_valley,134,1541
2001,1,bench,4013.26575,2,8,Adult,F,down_valley,115,1541
2002,1,bench,3692.874928,2,9,Adult,F,down_valley,142,1541
2003,1,bench,3855.723342,2,10,Adult,F,down_valley,128,1541
2004,1,bench,3640.044105,4,11,Adult,F,down_valley,146,1541
2005,0,bench,2718.173917,3,12,Adult,F,down_valley,132,1541
1996,0,gothictown,3835.279845,2,1,Yearling,M,down_valley,152,1616
1979,1,beavertalus,2936.174616,1,1,Yearling,F,SATELLITE,158,597
1980,1,beavertalus,NA,NA,2,Adult,F,SATELLITE,119,597
1981,0,beavertalus,3572.57165,1,3,Adult,F,SATELLITE,152,597
1993,0,stonefield,2530.032219,2,1,Yearling,F,up_valley,140,1510
1993,1,river,2373.849135,16,1,Yearling,F,down_valley,140,1496
1994,1,river,3762.104225,7,2,Adult,F,down_valley,170,1496
1995,1,river,3603.616005,7,3,Adult,F,down_valley,140,1496
1996,1,river,3695.754747,3,4,Adult,F,down_valley,152,1496
1997,1,river,4172.229679,4,5,Adult,F,down_valley,140,1496
1998,1,river,4138.711624,2,6,Adult,F,down_valley,145,1496
1999,1,river,4253.485681,7,7,Adult,F,down_valley,130,1496
2000,1,river,4091.745155,2,8,Adult,F,down_valley,134,1496
2001,1,river,3888.985056,2,9,Adult,F,down_valley,115,1496
2002,1,river,4082.91784,8,10,Adult,F,down_valley,142,1496
2003,1,river,3883.877376,8,11,Adult,F,down_valley,128,1496
2004,0,river,3305.781317,4,12,Adult,F,down_valley,146,1496
